Hyperparameter optimal
lr scope:0.00017125281738117337 ~ 0.00023268435325007886
Model1 (val_acc: 0.67) | lr: 0.0002171075320802629
Model2 (val_acc: 0.69) | lr: 0.0002071631170110777
Model3 (val_acc: 0.71) | lr: 0.00022021941549610347
Model4 (val_acc: 0.71) | lr: 0.00020720867905765772
Model5 (val_acc: 0.71) | lr: 0.0001886791578726843
Model6 (val_acc: 0.71) | lr: 0.00017810860299505293
Model7 (val_acc: 0.72) | lr: 0.00019827348296530545
Model8 (val_acc: 0.72) | lr: 0.00018066367192659527
Model9 (val_acc: 0.76) | lr: 0.00018963830370921642
